Attrition,Age,Department,EmployeeNumber,Gender,HourlyRate,JobLevel,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
No,30,Research & Development,441,Female,64,2,Married,1,13,3,2,11,2,3,10,8,1
No,31,Research & Development,442,Female,48,3,Married,1,24,4,1,10,2,3,10,9,8
No,39,Research & Development,444,Male,54,5,Married,1,15,3,1,21,2,3,21,9,13
Yes,39,Sales,445,Female,41,2,Married,4,18,3,0,12,3,2,1,0,0
No,33,Sales,446,Male,46,2,Single,3,14,3,0,9,6,2,7,7,0
No,47,Research & Development,447,Male,42,5,Married,4,11,3,1,21,2,3,3,2,1
No,43,Research & Development,448,Female,82,2,Divorced,1,11,3,1,9,3,4,9,7,0
No,27,Sales,449,Male,73,2,Married,0,13,3,1,6,0,3,5,4,1
No,54,Research & Development,450,Female,31,2,Single,3,12,3,0,20,4,2,4,3,0
No,43,Research & Development,451,Female,43,3,Married,8,16,3,1,10,1,2,1,0,0
No,45,Research & Development,452,Male,75,2,Married,9,14,3,2,12,3,3,10,9,9
No,40,Sales,453,Male,57,2,Married,2,22,4,3,6,2,2,4,3,0
Yes,29,Research & Development,454,Male,77,1,Married,1,11,3,0,7,4,2,7,7,0
No,29,Research & Development,455,Male,30,1,Single,0,17,3,0,4,2,3,3,2,2
No,30,Sales,456,Female,30,2,Divorced,1,13,3,3,10,2,3,10,9,1
No,27,Sales,458,Female,56,2,Married,1,18,3,1,8,3,3,8,7,0
No,37,Research & Development,460,Male,61,2,Divorced,7,16,3,2,8,2,2,6,2,0
No,38,Research & Development,461,Male,92,3,Divorced,0,14,3,1,12,3,3,11,10,2
No,31,Research & Development,462,Female,39,3,Single,1,14,3,0,11,2,2,11,9,4
No,29,Sales,463,Female,39,2,Divorced,1,14,3,2,7,2,3,7,7,1
No,35,Research & Development,464,Male,62,3,Single,0,13,3,0,17,5,3,16,6,0
No,23,Research & Development,465,Male,83,1,Divorced,1,12,3,2,4,2,2,4,2,0
No,41,Research & Development,466,Male,95,2,Single,6,15,3,0,8,3,3,5,4,1
No,47,Sales,467,Male,99,2,Single,3,19,3,0,5,3,3,0,0,0
No,42,Research & Development,468,Female,44,4,Single,2,14,3,0,16,2,3,1,0,0
No,29,Sales,469,Male,61,2,Married,1,14,3,1,4,3,2,4,3,0
No,42,Human Resources,470,Male,52,1,Divorced,0,11,3,1,4,5,3,3,2,1
No,32,Research & Development,471,Female,75,1,Married,1,13,3,1,8,4,3,8,0,0
No,48,Sales,473,Female,91,3,Married,3,21,4,1,15,3,1,0,0,0
No,37,Research & Development,474,Male,51,2,Divorced,4,13,3,2,13,2,3,7,7,6
No,30,Sales,475,Female,85,2,Married,7,12,3,1,4,2,4,2,2,2
No,26,Sales,476,Male,57,2,Married,1,17,3,1,8,3,3,8,7,7
No,42,Research & Development,477,Male,98,2,Single,3,23,4,0,14,6,3,1,0,0
Yes,21,Sales,478,Female,99,1,Single,1,11,3,0,3,3,3,3,2,1
No,36,Sales,479,Female,45,2,Single,4,15,3,0,7,6,3,1,0,0
No,36,Sales,481,Male,48,3,Married,4,11,3,1,16,2,3,13,9,1
No,57,Research & Development,482,Male,88,2,Married,2,11,3,0,15,2,3,3,2,1
No,40,Research & Development,483,Female,46,1,Married,3,13,3,1,10,3,3,7,7,1
No,21,Sales,484,Male,39,1,Single,1,24,4,0,3,3,2,3,2,2
Yes,33,Sales,485,Female,34,1,Single,1,13,3,0,1,2,3,1,0,0
No,37,Research & Development,486,Female,98,1,Married,6,20,4,1,17,3,3,5,4,0
No,46,Research & Development,487,Female,30,2,Married,2,14,3,0,7,2,4,1,0,0
Yes,41,Sales,488,Male,56,2,Single,1,18,3,0,8,5,3,8,7,7
No,50,Research & Development,491,Male,100,3,Single,6,15,3,0,20,2,3,4,3,1
Yes,40,Sales,492,Male,68,2,Married,2,12,3,2,8,6,3,6,4,1
No,31,Research & Development,493,Male,42,1,Single,0,16,3,0,3,5,3,2,2,2
Yes,21,Sales,494,Female,90,1,Single,1,15,3,0,1,0,3,1,0,0
No,29,Research & Development,495,Male,54,1,Single,9,16,3,0,6,4,3,3,2,1
No,35,Research & Development,496,Male,97,2,Single,9,19,3,0,10,5,3,1,1,0
No,27,Research & Development,497,Male,82,1,Divorced,1,11,3,1,5,2,3,5,2,0
No,28,Sales,498,Male,92,2,Single,1,16,3,0,7,1,3,7,5,0
No,49,Research & Development,499,Male,31,3,Single,8,24,4,0,26,2,3,5,2,0
No,51,Sales,500,Female,87,2,Married,4,11,3,1,18,2,2,7,7,0
No,36,Research & Development,501,Female,96,1,Married,4,13,3,1,6,3,3,2,2,2
Yes,34,Sales,502,Male,67,2,Single,8,13,3,0,9,3,2,5,2,0
No,55,Research & Development,505,Female,97,4,Single,2,13,3,0,30,2,3,5,4,1
No,24,Sales,507,Female,77,2,Divorced,1,12,3,1,5,2,4,5,2,0
No,30,Sales,508,Male,72,1,Married,1,18,3,1,1,3,3,1,0,0
Yes,26,Research & Development,510,Male,73,1,Single,0,22,4,0,7,2,3,6,4,0
No,22,Research & Development,511,Female,43,1,Married,1,13,3,1,2,1,3,2,1,1
No,36,Sales,513,Male,61,3,Married,1,13,3,2,10,2,3,10,9,9
Yes,30,Research & Development,514,Male,40,1,Single,9,23,4,0,3,4,3,1,0,0
No,37,Research & Development,515,Female,95,1,Divorced,1,12,3,1,18,2,2,18,7,12
No,40,Sales,516,Female,46,2,Divorced,7,12,3,2,8,5,3,5,4,1
No,42,Research & Development,517,Female,95,1,Divorced,3,16,3,1,8,5,3,5,2,1
No,37,Research & Development,518,Male,49,2,Single,2,12,3,0,18,2,2,1,0,0
No,43,Research & Development,520,Male,59,4,Divorced,1,11,3,1,25,3,3,25,10,3
No,40,Research & Development,521,Female,78,2,Married,6,22,4,1,20,3,3,1,0,0
No,54,Research & Development,522,Male,86,5,Married,4,11,3,1,24,4,2,4,2,1
No,34,Sales,523,Female,72,2,Married,9,15,3,1,6,3,3,3,2,1
No,31,Research & Development,524,Female,31,2,Married,1,12,3,1,13,5,1,13,10,3
No,43,Research & Development,525,Male,61,1,Married,7,20,4,1,8,1,3,3,2,1
No,43,Research & Development,526,Female,74,2,Divorced,4,14,3,0,8,3,3,5,2,0
No,25,Sales,527,Female,99,2,Single,1,11,3,0,5,3,3,5,4,1
No,37,Research & Development,529,Female,72,2,Married,3,15,3,2,15,2,3,13,11,10
No,31,Research & Development,530,Male,98,1,Married,1,12,3,1,4,3,3,4,2,3
No,39,Research & Development,531,Male,52,5,Divorced,1,14,3,1,21,3,3,21,8,1
No,56,Sales,532,Female,86,4,Married,9,11,3,3,36,0,2,7,7,7
No,30,Sales,533,Female,83,2,Single,0,11,3,0,6,6,3,5,4,4
No,41,Sales,534,Male,49,3,Married,1,16,3,1,10,2,3,10,7,0
No,28,Research & Development,536,Male,79,2,Divorced,1,12,3,1,10,2,3,10,0,1
Yes,25,Research & Development,538,Male,91,1,Married,5,13,3,1,6,5,3,2,2,0
No,52,Research & Development,543,Male,39,3,Married,2,14,3,0,28,4,3,5,4,0
No,45,Research & Development,544,Male,69,1,Married,3,21,4,2,8,3,2,2,2,0
No,52,Research & Development,546,Female,30,4,Married,2,13,3,0,31,2,1,5,2,1
No,42,Research & Development,547,Female,92,2,Divorced,2,11,3,1,19,3,3,5,4,0
No,30,Research & Development,548,Female,43,2,Single,2,20,4,0,11,2,3,5,4,0
No,60,Research & Development,549,Female,41,5,Married,5,11,3,0,33,5,1,29,8,11
No,46,Research & Development,550,Female,87,2,Divorced,2,14,3,1,19,5,2,10,7,0
No,42,Research & Development,551,Female,88,2,Married,0,11,3,3,7,4,4,6,5,0
Yes,24,Sales,554,Female,62,1,Single,1,16,3,0,6,4,3,5,3,1
Yes,34,Sales,555,Female,33,1,Divorced,0,16,3,1,3,3,2,2,2,1
No,38,Research & Development,556,Male,42,1,Married,1,23,4,1,1,3,3,1,0,0
No,40,Sales,558,Female,79,5,Married,0,14,3,0,21,2,3,20,15,1
No,26,Research & Development,560,Female,90,1,Divorced,1,22,4,2,3,3,1,3,2,0
No,30,Research & Development,562,Male,53,1,Married,4,15,3,1,9,3,1,5,3,1
No,29,Research & Development,564,Male,93,3,Married,1,18,3,0,10,2,3,10,2,0
Yes,29,Research & Development,565,Female,71,1,Married,5,16,3,0,6,2,4,2,2,1
Yes,19,Human Resources,566,Male,52,1,Single,1,12,3,0,1,3,4,1,0,0
No,30,Sales,567,Female,69,3,Married,0,11,3,0,10,3,3,9,8,7
No,57,Sales,568,Male,56,4,Divorced,3,12,3,1,32,3,2,1,0,0
No,50,Research & Development,569,Male,88,4,Married,0,15,3,1,28,2,3,27,10,15
No,30,Research & Development,571,Female,49,1,Single,0,14,3,0,12,2,2,11,7,6
No,60,Sales,573,Female,80,3,Married,4,19,3,0,22,5,4,18,13,13
No,47,Research & Development,574,Female,65,2,Divorced,5,13,3,3,20,2,3,5,0,0
No,46,Research & Development,575,Male,51,4,Married,6,13,3,0,26,2,1,3,2,0
No,35,Research & Development,577,Male,46,1,Single,0,15,3,0,6,2,3,5,4,4
No,54,Research & Development,578,Female,42,2,Single,7,11,3,0,19,3,3,1,0,0
No,34,Research & Development,579,Male,62,1,Divorced,3,12,3,1,14,3,3,7,3,5
No,46,Sales,580,Female,94,3,Married,2,19,3,1,15,3,3,3,2,1
No,31,Research & Development,581,Male,33,3,Divorced,1,25,4,1,13,6,4,13,8,0
Yes,33,Research & Development,582,Male,56,3,Married,7,12,3,0,15,2,4,7,6,7
Yes,33,Research & Development,584,Male,38,1,Divorced,7,13,3,3,8,2,3,4,3,1
No,30,Sales,585,Male,57,1,Single,0,14,3,0,4,3,3,3,2,1
No,35,Research & Development,586,Male,72,3,Married,4,12,3,0,10,2,3,8,7,0
Yes,31,Research & Development,587,Male,66,3,Married,3,12,3,0,12,2,3,1,0,0
Yes,34,Human Resources,590,Female,43,3,Divorced,9,15,3,3,11,2,3,3,2,0
No,42,Research & Development,591,Male,97,1,Married,4,17,3,1,8,4,3,2,2,2
No,36,Sales,592,Male,32,3,Single,1,14,3,0,10,3,2,10,3,9
Yes,22,Research & Development,593,Male,99,1,Single,5,16,3,0,4,3,3,2,2,1
No,48,Sales,595,Female,37,2,Married,2,14,3,1,14,2,3,9,7,6
No,55,Sales,597,Female,83,4,Single,3,23,4,0,37,2,3,10,9,7
No,41,Sales,599,Male,56,2,Single,7,14,3,0,16,3,3,14,3,1
No,35,Sales,600,Male,85,2,Married,9,11,3,0,15,2,3,11,9,6
No,40,Research & Development,601,Female,75,4,Single,7,15,3,0,22,3,3,20,6,5
No,39,Research & Development,602,Female,48,1,Married,1,11,3,1,8,3,3,8,3,0
No,31,Sales,604,Male,77,2,Single,4,13,3,0,10,2,4,6,5,0
No,42,Research & Development,605,Male,56,3,Married,1,21,4,1,10,5,2,10,9,5
No,45,Sales,606,Male,61,2,Married,0,19,3,1,9,3,4,8,7,3
Yes,26,Human Resources,608,Female,58,1,Divorced,0,11,3,1,8,2,2,7,7,1
No,29,Research & Development,611,Male,34,2,Divorced,4,12,3,2,8,2,4,3,2,1
No,33,Research & Development,612,Female,95,4,Divorced,4,19,3,1,10,2,3,6,1,0
No,31,Sales,613,Male,44,3,Divorced,9,21,4,1,10,3,2,5,4,0
Yes,18,Sales,614,Male,69,1,Single,1,14,3,0,0,3,3,0,0,0
No,40,Sales,615,Male,58,3,Divorced,3,15,3,1,20,2,3,1,0,0
No,41,Research & Development,616,Female,62,2,Single,2,17,3,0,10,3,3,8,7,0
No,26,Sales,618,Male,45,2,Divorced,5,12,3,2,8,5,3,0,0,0
No,35,Sales,620,Female,80,2,Single,1,16,3,0,5,3,3,5,4,0
No,34,Sales,621,Male,74,2,Single,1,12,3,0,10,3,3,10,7,5
Yes,26,Research & Development,622,Male,66,1,Single,1,18,3,0,1,3,1,1,0,0
No,37,Research & Development,623,Female,59,3,Single,4,17,3,0,12,3,4,6,5,1
No,46,Research & Development,624,Female,86,3,Married,5,11,3,0,28,3,2,2,2,1
No,41,Sales,625,Female,91,4,Married,7,16,3,1,22,2,3,18,16,11
No,37,Sales,626,Male,69,3,Divorced,1,13,3,1,9,6,3,9,5,7
No,52,Research & Development,630,Male,78,2,Divorced,3,12,3,2,18,3,3,10,9,6
Yes,32,Sales,631,Male,60,2,Married,8,12,3,0,6,2,3,4,2,1
No,24,Sales,632,Male,38,1,Married,0,13,3,2,3,3,3,2,2,2
No,38,Research & Development,634,Female,76,2,Married,3,19,3,1,18,4,3,1,0,0
No,37,Research & Development,635,Female,65,2,Married,6,12,3,1,8,2,2,6,5,4
No,49,Research & Development,638,Male,58,5,Divorced,1,17,3,1,31,5,3,31,9,0
No,24,Research & Development,639,Male,89,1,Married,1,11,3,2,6,3,3,6,5,1
No,26,Sales,641,Male,66,2,Married,1,20,4,2,6,5,4,5,3,1
No,24,Research & Development,643,Male,94,1,Married,1,21,4,1,1,2,3,1,0,0
No,50,Human Resources,644,Male,99,5,Married,1,11,3,1,32,2,3,32,5,10
No,25,Sales,645,Male,40,1,Married,1,11,3,0,7,1,3,7,4,0
Yes,24,Research & Development,647,Female,55,1,Married,1,16,3,1,6,4,3,6,3,1
Yes,30,Sales,648,Male,74,1,Married,1,18,3,1,1,2,4,1,0,0
No,34,Research & Development,649,Male,83,1,Married,1,13,3,1,6,3,3,6,5,1
Yes,31,Sales,650,Male,46,2,Divorced,2,17,3,0,9,2,1,3,1,1
No,35,Research & Development,652,Male,54,2,Single,4,14,3,0,9,3,3,3,2,0
No,31,Sales,653,Male,66,2,Divorced,4,22,4,2,13,4,4,7,7,5
No,27,Research & Development,655,Female,66,1,Divorced,0,12,3,2,6,5,2,5,3,0
No,37,Sales,656,Male,75,2,Married,4,11,3,1,17,3,2,3,0,1
No,20,Research & Development,657,Female,83,1,Single,1,13,3,0,1,0,4,1,0,0
No,42,Research & Development,659,Female,81,2,Married,1,13,3,2,10,4,3,10,2,2
No,43,Research & Development,661,Male,50,4,Divorced,4,14,3,1,21,3,2,1,0,0
No,38,Research & Development,662,Female,43,1,Single,3,17,3,0,8,3,2,0,0,0
No,43,Research & Development,663,Male,72,2,Divorced,3,13,3,1,10,3,3,8,7,4
No,48,Research & Development,664,Female,40,4,Married,7,11,3,1,21,3,1,3,2,0
No,44,Human Resources,665,Female,50,2,Single,4,11,3,0,10,1,4,2,2,0
No,34,Sales,666,Female,31,1,Divorced,1,18,3,2,8,3,3,8,2,0
Yes,27,Sales,667,Male,85,1,Divorced,0,11,3,1,5,3,3,4,3,0
No,21,Sales,669,Male,49,1,Single,1,11,3,0,3,2,3,3,2,1
No,44,Research & Development,671,Male,35,5,Married,4,12,3,1,26,2,4,2,2,0
No,22,Research & Development,675,Male,69,1,Married,0,20,4,0,3,3,3,2,2,2
No,33,Sales,677,Male,39,2,Divorced,0,12,3,0,6,3,3,5,0,1
No,32,Research & Development,679,Female,92,2,Married,1,12,3,1,6,2,2,6,4,0
No,30,Research & Development,680,Female,71,1,Divorced,1,20,4,1,1,2,3,1,0,0
No,53,Sales,682,Female,34,2,Single,7,20,4,0,18,2,4,14,7,8
No,34,Research & Development,683,Male,42,1,Married,1,12,3,1,10,4,2,10,9,8
Yes,45,Sales,684,Female,100,2,Married,2,14,3,2,5,4,3,1,1,0
No,26,Research & Development,686,Female,71,1,Married,1,13,3,1,3,2,3,3,2,0
No,37,Research & Development,689,Male,36,3,Married,1,15,3,1,10,2,3,10,7,7
No,29,Sales,690,Female,62,2,Married,1,14,3,1,6,5,2,6,0,1
No,35,Research & Development,691,Male,82,2,Single,1,13,3,0,17,3,3,17,11,11
No,33,Research & Development,692,Male,30,2,Divorced,3,23,4,1,15,2,1,13,11,4
No,54,Human Resources,698,Male,88,3,Married,2,15,3,1,16,1,4,9,7,7
No,36,Research & Development,699,Male,48,2,Divorced,2,11,3,1,13,2,3,3,2,0
No,27,Research & Development,700,Male,54,1,Single,0,13,3,0,5,0,3,4,2,1
Yes,20,Research & Development,701,Male,32,1,Single,1,11,3,0,1,5,3,1,0,1
Yes,33,Research & Development,702,Male,70,1,Single,1,11,3,0,10,3,3,10,8,9
No,35,Research & Development,704,Male,41,1,Married,1,18,3,2,1,3,3,1,0,0
No,23,Research & Development,705,Male,58,1,Married,2,16,3,1,5,3,4,3,2,0
No,25,Sales,707,Male,57,2,Married,0,22,4,1,4,4,3,3,2,1
No,38,Sales,709,Female,46,2,Single,0,20,4,0,8,2,3,7,7,0
No,29,Research & Development,710,Male,76,1,Divorced,1,18,3,1,10,5,3,10,7,2
No,48,Sales,712,Male,56,2,Married,3,12,3,0,12,3,3,2,2,2
No,27,Sales,714,Female,71,2,Divorced,1,20,4,2,6,3,3,6,5,0
No,37,Research & Development,715,Male,80,1,Single,3,17,3,0,4,2,3,1,0,0
No,50,Research & Development,716,Male,74,1,Married,1,11,3,3,20,3,3,20,8,3
No,34,Research & Development,717,Female,46,3,Single,1,14,3,0,9,3,4,8,7,7
Yes,24,Sales,720,Female,65,2,Single,9,14,3,0,4,3,3,2,2,2
No,39,Research & Development,721,Female,80,2,Single,1,11,3,0,20,4,3,20,7,11
No,32,Sales,722,Male,55,2,Single,1,12,3,0,10,2,2,10,7,0
Yes,50,Sales,723,Male,50,2,Married,3,14,3,1,18,4,3,4,3,1
No,38,Research & Development,724,Female,33,2,Single,0,13,3,0,10,4,2,9,7,1
No,27,Research & Development,725,Female,68,3,Married,1,11,3,0,9,3,3,9,7,0
No,32,Research & Development,727,Female,39,3,Single,3,15,3,0,10,6,3,7,7,7
No,47,Sales,728,Male,42,2,Single,2,12,3,0,20,2,3,7,7,1
No,40,Sales,729,Male,48,3,Married,5,21,4,1,20,2,3,18,13,1
No,53,Research & Development,730,Male,59,4,Married,3,19,3,0,32,3,3,5,1,1
No,41,Human Resources,731,Male,73,5,Divorced,3,15,3,3,23,2,2,21,6,12
No,60,Sales,732,Male,84,2,Single,8,14,3,0,10,1,3,2,2,2
No,27,Research & Development,733,Male,32,3,Divorced,1,21,4,2,9,4,2,9,7,1
No,41,Human Resources,734,Male,59,5,Married,1,12,3,1,22,3,3,22,7,2
No,50,Sales,738,Male,54,1,Married,7,15,3,1,4,2,3,2,2,2
Yes,28,Research & Development,741,Female,67,1,Single,7,13,3,0,10,4,3,7,7,3
No,36,Research & Development,742,Female,63,3,Married,9,14,3,1,10,2,3,8,7,0
No,38,Research & Development,743,Female,81,3,Single,4,14,3,0,10,4,4,1,0,0
No,44,Research & Development,744,Male,49,1,Single,2,14,3,0,9,5,3,5,2,1
No,47,Sales,746,Female,49,4,Divorced,9,12,3,2,28,2,2,22,2,11
No,30,Sales,747,Male,99,2,Divorced,7,23,4,1,10,2,2,8,7,7
No,29,Sales,749,Male,99,1,Single,1,11,3,0,1,6,3,1,0,0
Yes,42,Research & Development,752,Male,57,1,Divorced,6,12,3,0,7,2,3,2,2,2
No,43,Sales,754,Male,47,2,Married,3,18,3,1,7,5,3,2,2,2
No,34,Research & Development,757,Female,96,2,Single,3,11,3,0,10,2,3,5,1,4
No,23,Research & Development,758,Male,37,1,Married,1,14,3,1,5,2,4,4,3,0
No,39,Human Resources,760,Female,44,2,Married,9,15,3,1,12,3,1,8,3,3
No,56,Research & Development,762,Male,81,4,Married,7,11,3,0,30,1,2,10,7,1
No,40,Research & Development,763,Female,86,1,Single,0,20,4,0,5,2,2,4,2,2
No,27,Research & Development,764,Female,55,2,Single,8,19,3,0,9,2,1,7,6,0
No,29,Sales,766,Male,83,1,Divorced,1,14,3,2,2,2,3,2,2,2
No,53,Research & Development,769,Male,86,2,Single,2,17,3,0,19,4,3,2,2,2
No,35,Research & Development,771,Female,61,2,Divorced,2,11,3,1,16,2,4,1,0,0
No,32,Research & Development,772,Male,80,2,Married,1,15,3,2,10,2,3,10,8,4
No,38,Research & Development,773,Male,92,1,Married,6,13,3,1,6,0,1,1,0,0
No,34,Research & Development,775,Female,32,2,Divorced,3,14,3,1,7,3,3,0,0,0
No,52,Sales,776,Male,31,4,Married,1,11,3,0,34,3,4,34,6,1
Yes,33,Research & Development,780,Male,63,1,Single,1,13,3,0,10,2,2,10,9,7
No,25,Sales,781,Female,32,2,Single,1,23,4,0,6,5,2,6,5,1
No,45,Sales,783,Male,46,2,Single,0,13,3,0,9,3,3,8,7,3
No,23,Research & Development,784,Male,79,1,Single,1,18,3,0,2,3,3,2,2,0
Yes,47,Sales,785,Female,77,2,Single,4,12,3,0,8,2,3,5,4,1
No,34,Sales,786,Male,60,2,Single,1,22,4,0,6,5,3,6,5,1
Yes,55,Research & Development,787,Male,78,5,Married,5,13,3,1,24,2,3,5,2,1
No,36,Sales,789,Male,76,3,Single,1,15,3,0,10,1,3,10,7,0
No,52,Research & Development,791,Male,41,1,Married,0,18,3,1,5,3,3,4,3,1
No,26,Research & Development,792,Female,71,1,Divorced,3,14,3,1,5,2,3,2,2,2
No,29,Research & Development,793,Female,66,2,Married,4,12,3,1,11,3,2,8,7,1
Yes,26,Sales,796,Male,38,2,Single,6,17,3,0,6,2,2,4,3,1
No,34,Research & Development,797,Female,72,1,Single,2,16,3,0,10,2,3,4,2,1
No,54,Research & Development,799,Female,95,2,Divorced,9,11,3,2,9,4,3,5,3,1
No,27,Sales,800,Male,84,2,Married,0,19,3,1,5,3,3,4,2,1
No,37,Research & Development,802,Female,82,1,Divorced,0,13,3,2,6,3,2,5,3,4
No,38,Research & Development,803,Female,75,2,Single,6,12,3,0,17,2,3,15,7,4
No,34,Research & Development,804,Female,86,1,Single,1,11,3,0,6,3,3,6,5,1
No,35,Sales,805,Female,72,1,Married,1,16,3,1,3,1,2,3,2,0
No,30,Research & Development,806,Male,38,1,Married,3,21,4,2,7,2,3,2,2,0
No,40,Research & Development,807,Female,38,2,Married,1,24,4,1,8,2,3,8,7,3
No,34,Sales,808,Female,93,2,Married,5,17,3,1,6,1,3,3,2,1
No,42,Research & Development,809,Male,66,5,Divorced,1,13,3,1,24,4,2,24,7,14
Yes,23,Research & Development,811,Male,63,1,Married,1,21,4,2,1,2,3,0,0,0
No,24,Research & Development,812,Male,60,1,Divorced,1,11,3,3,1,4,3,1,0,0
No,52,Research & Development,813,Female,82,2,Married,8,20,4,1,9,3,3,5,2,1
No,50,Research & Development,815,Male,64,4,Married,5,16,3,0,30,3,3,4,3,0
Yes,29,Research & Development,816,Female,36,1,Married,1,11,3,1,1,1,3,1,0,0
No,33,Research & Development,817,Male,49,3,Married,0,11,3,0,14,3,4,13,9,3
Yes,33,Sales,819,Female,69,2,Single,5,15,3,0,6,3,3,3,2,0
No,47,Research & Development,820,Female,33,4,Married,1,11,3,1,26,3,2,26,14,3
No,36,Research & Development,823,Female,35,2,Married,0,15,3,1,10,2,3,9,7,0
No,29,Research & Development,824,Male,81,1,Married,1,24,4,1,10,3,3,10,7,0
Yes,58,Research & Development,825,Male,31,5,Single,7,12,3,0,40,2,3,31,15,13
No,35,Research & Development,826,Female,40,1,Single,3,13,3,0,7,0,3,2,2,2
No,42,Research & Development,827,Female,43,2,Married,9,13,3,1,8,4,3,4,3,0
Yes,28,Research & Development,828,Male,46,1,Single,6,17,3,0,5,3,2,2,2,2
No,36,Human Resources,829,Male,36,1,Married,4,13,3,1,8,2,3,5,2,0
No,32,Research & Development,830,Female,98,2,Married,1,12,3,1,14,3,3,14,13,6
No,40,Research & Development,832,Male,51,2,Single,6,14,3,0,10,6,3,1,0,0
No,30,Research & Development,833,Female,52,2,Single,5,24,4,0,12,4,2,0,0,0
No,45,Research & Development,834,Female,95,1,Single,1,14,3,0,1,3,3,1,0,0
No,42,Research & Development,836,Male,98,2,Married,1,13,3,1,10,3,2,9,8,7
No,38,Research & Development,837,Male,45,2,Divorced,2,15,3,1,13,3,2,4,3,1
No,34,Research & Development,838,Female,100,1,Single,1,16,3,0,6,3,3,5,2,1
Yes,49,Sales,840,Female,43,3,Married,1,18,3,2,9,3,4,9,8,7
Yes,55,Sales,842,Male,37,2,Single,4,16,3,0,12,3,2,9,7,7
No,43,Research & Development,843,Male,94,4,Married,6,24,4,1,22,3,3,4,1,1
No,27,Research & Development,844,Male,42,3,Divorced,1,16,3,1,9,3,3,9,8,0
No,35,Research & Development,845,Male,59,3,Single,3,21,4,0,17,3,4,8,5,1
No,28,Sales,846,Female,81,2,Married,1,20,4,0,8,2,3,8,7,7
No,34,Human Resources,847,Male,88,1,Married,0,19,3,1,4,1,1,3,2,0
Yes,26,Research & Development,848,Female,88,1,Married,1,14,3,1,8,2,3,8,7,1
No,27,Research & Development,850,Male,50,1,Married,1,11,3,3,0,6,2,0,0,0
No,51,Sales,851,Female,66,4,Married,2,14,3,1,29,2,2,20,6,4
No,44,Research & Development,852,Male,50,2,Single,9,12,3,0,10,2,2,5,2,2
No,25,Research & Development,854,Male,65,1,Single,7,13,3,0,6,3,2,4,3,0
No,33,Sales,855,Male,48,2,Divorced,1,22,4,1,9,5,3,9,8,0
No,35,Research & Development,856,Female,53,1,Single,1,11,3,0,6,3,2,6,5,1
No,36,Sales,857,Male,56,2,Married,1,14,3,1,18,1,2,18,14,4
No,32,Sales,859,Male,73,2,Divorced,2,11,3,1,8,3,2,5,2,0
No,30,Research & Development,861,Male,75,1,Divorced,9,12,3,1,10,3,2,5,4,0
No,53,Sales,862,Female,78,3,Married,7,18,3,1,35,3,3,5,2,0
No,45,Sales,864,Male,74,3,Divorced,4,12,3,1,18,2,3,5,4,0
No,32,Research & Development,865,Female,91,2,Married,5,12,3,1,9,3,2,5,3,1
No,52,Research & Development,867,Female,81,4,Married,3,22,4,0,31,3,3,9,8,0
No,37,Sales,868,Male,66,2,Divorced,4,19,3,2,9,2,3,1,0,0
No,28,Human Resources,869,Male,63,1,Divorced,1,13,3,1,6,6,3,5,1,0
No,22,Research & Development,872,Male,33,2,Married,6,22,4,2,4,2,1,2,2,2
No,44,Research & Development,874,Male,62,1,Married,2,24,4,1,10,2,2,3,2,0
No,42,Research & Development,875,Male,35,1,Single,5,14,3,0,8,2,3,2,1,2
No,36,Human Resources,878,Male,77,1,Married,0,21,4,0,6,3,3,5,4,0
No,25,Sales,879,Male,98,2,Married,1,18,3,0,5,3,3,5,3,0
No,35,Research & Development,880,Female,66,3,Married,1,20,4,1,17,2,3,17,14,5
Yes,35,Research & Development,881,Female,96,1,Divorced,1,19,3,1,10,3,2,10,2,7
No,32,Research & Development,882,Male,61,1,Divorced,0,12,3,1,4,2,3,3,0,0
No,25,Sales,885,Male,87,2,Married,1,12,3,0,5,1,4,5,2,0
No,49,Research & Development,887,Female,36,1,Married,2,16,3,1,7,2,3,4,2,0
No,24,Research & Development,888,Male,46,1,Married,0,17,3,0,6,2,2,5,2,3
No,32,Sales,889,Male,48,2,Married,1,14,3,1,10,3,3,10,8,5
No,38,Sales,893,Male,98,1,Married,0,19,3,1,3,3,3,2,2,1
No,42,Research & Development,894,Female,95,2,Married,2,13,3,1,17,1,2,5,3,1
No,31,Research & Development,895,Male,48,1,Married,3,19,3,1,8,2,3,6,4,0
Yes,29,Sales,896,Female,48,1,Divorced,6,19,3,3,5,3,3,3,2,0
No,53,Sales,897,Male,73,4,Married,5,14,3,1,28,3,3,2,0,2
No,35,Research & Development,899,Male,78,3,Married,3,16,3,0,16,2,3,13,10,4
No,37,Sales,900,Female,54,1,Married,5,15,3,1,10,3,3,5,4,0
No,53,Research & Development,901,Female,72,4,Single,6,18,3,0,33,0,3,12,9,3
No,43,Research & Development,902,Female,33,2,Married,4,13,3,1,12,2,2,5,2,2
No,47,Sales,903,Female,35,2,Married,0,22,4,1,8,2,3,7,6,7
No,37,Sales,904,Male,32,3,Single,1,13,3,0,10,2,3,10,0,0
